2025-11-12 13:41:06.394 [main] ERROR servicio.TorneoService - Enfrentamiento ya existe, contuniamos agregando
2025-11-12 13:41:06.396 [main] ERROR servicio.TorneoService - Enfrentamiento ya existe, contuniamos agregando
2025-11-12 13:41:06.397 [main] ERROR servicio.TorneoService - Enfrentamiento ya existe, contuniamos agregando
2025-11-12 13:41:06.397 [main] ERROR servicio.TorneoService - Enfrentamiento ya existe, contuniamos agregando
2025-11-12 13:41:06.397 [main] ERROR servicio.TorneoService - Enfrentamiento ya existe, contuniamos agregando
2025-11-12 13:41:06.397 [main] ERROR servicio.TorneoService - Enfrentamiento ya existe, contuniamos agregando
2025-11-12 13:41:06.397 [main] ERROR servicio.TorneoService - Enfrentamiento ya existe, contuniamos agregando
2025-11-12 13:41:06.397 [main] ERROR servicio.TorneoService - Enfrentamiento ya existe, contuniamos agregando
2025-11-12 13:41:06.397 [main] ERROR servicio.TorneoService - Enfrentamiento ya existe, contuniamos agregando
2025-11-12 13:41:06.397 [main] ERROR servicio.TorneoService - Enfrentamiento ya existe, contuniamos agregando
2025-11-12 13:41:06.397 [main] ERROR servicio.TorneoService - Enfrentamiento ya existe, contuniamos agregando
2025-11-12 13:41:06.397 [main] ERROR servicio.TorneoService - Enfrentamiento ya existe, contuniamos agregando
2025-11-12 13:41:06.397 [main] ERROR servicio.TorneoService - Enfrentamiento ya existe, contuniamos agregando
2025-11-12 13:41:06.398 [main] ERROR servicio.TorneoService - Enfrentamiento ya existe, contuniamos agregando
2025-11-12 13:41:06.398 [main] ERROR servicio.TorneoService - Enfrentamiento ya existe, contuniamos agregando
2025-11-12 13:41:06.398 [main] ERROR servicio.TorneoService - Enfrentamiento ya existe, contuniamos agregando
2025-11-12 13:41:06.398 [main] ERROR servicio.TorneoService - Enfrentamiento ya existe, contuniamos agregando
2025-11-12 13:41:06.398 [main] ERROR servicio.TorneoService - Enfrentamiento ya existe, contuniamos agregando
2025-11-12 13:41:06.398 [main] ERROR servicio.TorneoService - Enfrentamiento ya existe, contuniamos agregando
2025-11-12 13:41:06.398 [main] ERROR servicio.TorneoService - Enfrentamiento ya existe, contuniamos agregando
2025-11-12 13:41:06.398 [main] ERROR servicio.TorneoService - Enfrentamiento ya existe, contuniamos agregando
2025-11-12 13:41:06.398 [main] ERROR servicio.TorneoService - Enfrentamiento ya existe, contuniamos agregando
2025-11-12 13:41:06.398 [main] ERROR servicio.TorneoService - Enfrentamiento ya existe, contuniamos agregando
2025-11-12 13:41:06.398 [main] ERROR servicio.TorneoService - Enfrentamiento ya existe, contuniamos agregando
2025-11-12 13:41:06.398 [main] ERROR servicio.TorneoService - Enfrentamiento ya existe, contuniamos agregando
2025-11-12 13:41:06.399 [main] ERROR servicio.TorneoService - Enfrentamiento ya existe, contuniamos agregando
2025-11-12 13:41:06.399 [main] ERROR servicio.TorneoService - Enfrentamiento ya existe, contuniamos agregando
2025-11-12 13:41:06.399 [main] ERROR servicio.TorneoService - Enfrentamiento ya existe, contuniamos agregando
2025-11-12 13:41:06.399 [main] ERROR servicio.TorneoService - Enfrentamiento ya existe, contuniamos agregando
2025-11-12 13:41:06.399 [main] ERROR servicio.TorneoService - Enfrentamiento ya existe, contuniamos agregando
2025-11-12 13:41:06.399 [main] ERROR servicio.TorneoService - Enfrentamiento ya existe, contuniamos agregando
2025-11-12 13:41:06.399 [main] ERROR servicio.TorneoService - Enfrentamiento ya existe, contuniamos agregando
2025-11-12 13:41:06.399 [main] ERROR servicio.TorneoService - Enfrentamiento ya existe, contuniamos agregando
2025-11-12 13:41:06.399 [main] ERROR servicio.TorneoService - Enfrentamiento ya existe, contuniamos agregando
2025-11-12 13:41:06.400 [main] ERROR servicio.TorneoService - Enfrentamiento ya existe, contuniamos agregando
2025-11-12 13:41:06.400 [main] ERROR servicio.TorneoService - Enfrentamiento ya existe, contuniamos agregando
2025-11-12 13:41:06.400 [main] ERROR servicio.TorneoService - Enfrentamiento ya existe, contuniamos agregando
2025-11-12 13:41:06.400 [main] ERROR servicio.TorneoService - Enfrentamiento ya existe, contuniamos agregando
2025-11-12 13:41:06.400 [main] ERROR servicio.TorneoService - Enfrentamiento ya existe, contuniamos agregando
2025-11-12 13:41:06.400 [main] ERROR servicio.TorneoService - Enfrentamiento ya existe, contuniamos agregando
2025-11-12 13:41:06.400 [main] ERROR servicio.TorneoService - Enfrentamiento ya existe, contuniamos agregando
2025-11-12 13:41:06.400 [main] ERROR servicio.TorneoService - Enfrentamiento ya existe, contuniamos agregando
2025-11-12 13:41:06.400 [main] ERROR servicio.TorneoService - Enfrentamiento ya existe, contuniamos agregando
2025-11-12 13:41:06.400 [main] ERROR servicio.TorneoService - Enfrentamiento ya existe, contuniamos agregando
2025-11-12 13:41:06.400 [main] ERROR servicio.TorneoService - Enfrentamiento ya existe, contuniamos agregando
2025-11-12 13:41:06.400 [main] ERROR servicio.TorneoService - Enfrentamiento ya existe, contuniamos agregando
2025-11-12 13:41:06.400 [main] ERROR servicio.TorneoService - Enfrentamiento ya existe, contuniamos agregando
2025-11-12 13:41:06.401 [main] ERROR servicio.TorneoService - Enfrentamiento ya existe, contuniamos agregando
2025-11-12 13:41:06.401 [main] ERROR servicio.TorneoService - Enfrentamiento ya existe, contuniamos agregando
